Description,Part Number,Material Charge
Edgebanding - Windswept Bronze 15/16in.,"4012-WSBronze - 15/16""",0.0615
Edgebanding -Windswept Bronze 1- 5/16in.,"4012-WSBronze - 1- 5/16""",0.1186
Edgebanding -Windswept Pewter 1- 5/16in.,"4012-WSPewter - 1- 5/16""",0.118
Edgebanding -Windswept Pewter 15/16in.,"4012-WSPewter - 15/16""",0.083
"Glue - Natural,55 lbs Bag, Granular Jowat Adhesive",4012-Glue-JOWAT,144.00
"Natural, Hot Melt - 308# Drum",4012-Drum-HotMelt,519.00
"Natural, Hot Melt - 55# Bag 208",4012-Glue Nat 55#208,117.00
"Natural, Hot Melt - 55# Bag 217",4012-Glue Nat 55#217,118.00
"T-molding, 1 ¼'  Black Bumper (per ft)",4015,0.40

Laminate - Stainless Aluminum Brushed 4x8 sheet 1.0 thick,4016-Stainless-Brushed,99.84
Laminate-Stainless Steel Diamond Plate sheet,4016-Diamond Plate,225.00
Laminated Workbench sheets - Ebony Star - 1' 5 x 12 PB,4016-Ebony Star,145.00
